# expected_volume_mL=112.37,sensor_cal_factor=0.00052587,source_duration_s=25.00
time_s,mass_g,filt_mass_g,filt_inflow_g_s,kz_flow_g_s,cum_volume_g,cum_volume_mL,zone,is_roi
18.526522874832153,71.51917892099999,71.3867761709183,6.907266763870449,5.861007240165524,74.00908743105423,74.14254401027272,voiding,1
18.526737928390503,72.539892591,71.55263321661963,6.856359244032268,5.836544276336418,74.25468972908412,74.38858918962545,voiding,1
18.562739849090576,71.459229741,71.71129682838946,6.787484931725763,5.811958519433234,74.26287405817688,74.39678827707561,voiding,1
18.563952922821045,71.981418651,71.86272087105787,6.706054475133759,5.787258665244601,74.5060479517263,74.64040067293759,voiding,1
18.60045289993286,72.035583261,72.00750309321461,6.618550787191282,5.762452886254057,74.75329613222522,74.88809470269005,voiding,1
18.6380558013916,71.534429151,72.14685067692947,6.531933399259609,5.737548703224847,74.76175709022601,74.8965709178782,voiding,1
18.63935899734497,72.439451421,72.28248940445229,6.4530025636297434,5.712552880423075,74.98580402061128,75.12102185995921,voiding,1
18.67425513267517,73.290834951,72.41653040611455,6.387785005839491,5.6874713489930615,75.23057716466847,75.36623639017078,voiding,1
18.712714910507202,71.798941761,72.55130288056189,6.341001162723977,5.662309161946136,75.46798561721444,75.60407294852178,voiding,1
18.750230073928833,73.166729631,72.6891567140217,6.315665149920908,5.637070482881448,75.47617971000814,75.61228181727924,voiding,1
18.751527786254883,73.420724841,72.83224307524046,6.312854483007112,5.611758608982931,75.94304804073347,76.07999202638096,voiding,1
18.82537293434143,71.80577807099999,72.98229213417437,6.331668354922683,5.586376027134218,75.95176612568801,76.08872583218594,voiding,1
18.826745748519897,72.44891708099999,73.14041851184918,6.369373186286458,5.560924500295907,75.95354406170897,76.09050697426264,voiding,1
18.82702374458313,74.275263591,73.30698976958821,6.4217145743547865,5.535405179737394,76.18328631673758,76.32066351105749,voiding,1
18.862628698349,73.356568701,73.48158389908909,6.483357935461983,5.509818737434614,76.42911801223889,76.56693850154167,voiding,1
18.900356769561768,73.891378491,73.66304056572139,6.548407940664387,5.484165512030899,76.67492196927716,76.81318570354354,voiding,1
18.93771481513977,72.54778064099999,73.84959363265699,6.6109505447814065,5.45844566126651,76.68254892140376,76.82082640893985,voiding,1
18.93886375427246,74.060708631,74.03906865135667,6.665561516804761,5.432659313727274,76.92365090034697,77.06236315402421,voiding,1
18.974920988082886,76.131058821,74.22912730025025,6.707731632128083,5.406806713118477,77.1789323787558,77.31810496769766,voiding,1
19.012903928756714,74.08700213099999,74.41752965552531,6.734170120609502,5.380888348980033,77.18895916606463,77.32814983576903,voiding,1
19.014391899108887,73.11572024099999,74.60237549536178,6.74296306847994,5.354905068743781,77.42946300925077,77.56908736651049,voiding,1
19.050084114074707,75.15872519099999,74.78229404078462,6.733580397171644,5.328858167204327,77.68117840994455,77.82125667195407,voiding,1
19.087540864944458,75.605188821,74.95656861287212,6.706741833075893,5.302749450741192,77.93319412476494,78.07372683306446,voiding,1
19.125236988067627,76.106342931,75.1251855564916,6.664167106124205,5.276581274911046,77.9415354570749,78.08208320684723,voiding,1
19.12649393081665,76.247801961,75.28878791013993,6.608246957996819,5.250356555257893,78.18019369201724,78.32117180125951,voiding,1
